Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
2.140119701E0,1.014599919E0,-9.21E-01,3.943899870E0,4.175186740E0,0.00E+00
2.150119701E0,-8.89E-01,-8.85E-01,5.754600048E0,5.889703841E0,0.00E+00
2.160119701E0,-1.14E+00,3.593699932E0,6.795599937E0,7.771240478E0,0.00E+00
2.170121263E0,-3.66E-01,1.738399982E0,4.967400074E0,5.275535392E0,0.00E+00
2.180121263E0,1.075099945E0,-2.00E+00,2.786499977E0,3.596280366E0,0.00E+00
2.190121263E0,1.357699990E0,-4.67E+00,-4.04E-01,4.884390760E0,0.00E+00
2.200119701E0,1.732599974E0,-5.71E+00,-1.94E+00,6.275450142E0,0.00E+00
2.210119701E0,4.558999836E-1,-7.61E+00,-2.27E+00,7.951764236E0,0.00E+00
2.220121263E0,1.108099937E0,-4.22E+00,-2.09E+00,4.837331043E0,0.00E+00
2.230119701E0,1.347899914E0,-1.65E+00,-1.45E-01,2.137398043E0,0.00E+00
2.240119701E0,7.098999619E-1,1.013000011E-1,2.156699896E0,2.272789935E0,0.00E+00
2.250121263E0,1.613999903E-1,6.096000075E-1,1.539499998E0,1.663647309E0,0.00E+00
2.260121263E0,-1.59E+00,-7.21E-02,-9.40E-01,1.850088825E0,0.00E+00
2.270119701E0,-4.40E+00,-1.56E+00,-3.89E+00,6.072700121E0,0.00E+00
2.280119701E0,-5.74E+00,2.644000053E-1,-6.37E+00,8.578370891E0,0.00E+00
2.290121263E0,-7.06E+00,1.118399978E0,-6.78E+00,9.848632403E0,0.00E+00
2.300121263E0,-7.60E+00,-1.15E+00,-6.30E+00,9.932472896E0,0.00E+00
2.310119701E0,-7.54E+00,-2.59E+00,-4.94E+00,9.376111879E0,0.00E+00
2.320121263E0,-8.46E+00,-3.43E+00,-5.68E+00,1.075382293E1,0.00E+00
2.330121263E0,-8.98E+00,-2.83E+00,-1.47E+00,9.532629330E0,0.00E+00
2.340119701E0,-8.26E+00,-4.10E+00,1.826999933E-1,9.218969729E0,0.00E+00
2.350119701E0,-7.61E+00,-5.03E+00,1.327600002E0,9.214857617E0,0.00E+00
2.360121263E0,-7.16E+00,-5.60E+00,8.837999701E-1,9.133162654E0,0.00E+00
2.370119701E0,-6.20E+00,-6.08E+00,1.159299970E0,8.757221954E0,0.00E+00
2.380121263E0,-4.98E+00,-6.09E+00,1.025499940E0,7.934676246E0,0.00E+00
2.390121263E0,-4.09E+00,-5.58E+00,1.303399920E0,7.042586064E0,0.00E+00
2.400121263E0,-3.11E+00,-5.86E+00,2.111199856E0,6.960969089E0,0.00E+00
2.410119701E0,-2.94E+00,-5.91E+00,1.768799901E0,6.829184564E0,0.00E+00
2.420119701E0,-3.06E+00,-5.86E+00,6.575999856E-1,6.642284036E0,0.00E+00
2.430121263E0,-1.91E+00,-5.73E+00,1.632499933E0,6.258880595E0,0.00E+00
2.440121263E0,-1.39E+00,-4.93E+00,2.173500061E0,5.562876127E0,0.00E+00
2.450119701E0,-8.72E-01,-4.24E+00,2.014099836E0,4.775894980E0,0.00E+00
2.460121263E0,-3.27E-02,-3.70E+00,1.559799910E0,4.016212800E0,0.00E+00
2.470121263E0,1.826999933E-1,-3.37E+00,3.075599909E0,4.563331713E0,0.00E+00
2.480119701E0,-1.21E+00,-2.44E+00,2.443599939E0,3.663078693E0,0.00E+00
2.490119701E0,-2.25E+00,-2.32E+00,6.995999813E-1,3.305967222E0,0.00E+00
